implementation,digits_1,digits_2,processes,execution_time_ms

standard,16,16,5,0.59
standard,10000,10000,5,0.819
standard,10000,10000,9,2.673
standard,10000,10000,17,5.838
standard,100,100000,5,3.685
standard,100,100000,9,9.605
standard,100,100000,17,19.889

scatter,16,16,4,0.31
scatter,1000,1000,4,0.221
scatter,1000,1000,8,8.034
scatter,1000,1000,16,1.337
scatter,100,100000,4,3.441
scatter,100,100000,8,1.216
scatter,100,100000,16,5.743

async,16,16,5,0.456
async,10000,10000,5,1.185
async,10000,10000,9,2.412
async,10000,10000,17,5.937
async,100,100000,5,3.848
async,100,100000,9,6.217
async,100,100000,17,9.31

sequential,16,16,1,0.0
sequential,10000,10000,1,0.032
sequential,100,100000,1,0.255
sequential,1000,1000,1,0.002
sequential,4,4,1,0.0

standard_optimized,16,16,5,0.438
standard_optimized,10000,10000,5,1.067
standard_optimized,10000,10000,9,2.15
standard_optimized,10000,10000,17,3.858
standard_optimized,100,100000,5,6.344
standard_optimized,100,100000,9,7.61
standard_optimized,100,100000,17,23.383
